iter	Passed	Remaining
0	157	157570
1	159	79565
2	161	53558
3	162	40475
4	163	32629
5	165	27370
6	166	23647
7	168	20860
8	169	18674
9	170	16928
10	173	15602
11	175	14437
12	176	13419
13	178	12545
14	179	11793
15	180	11123
16	182	10560
17	184	10039
18	185	9577
19	186	9156
20	188	8774
21	189	8430
22	192	8193
23	194	7925
24	196	7670
25	198	7418
26	200	7219
27	202	7023
28	204	6834
29	205	6645
30	206	6469
31	208	6303
32	209	6153
33	211	6000
34	212	5860
35	214	5740
36	215	5613
37	217	5503
38	218	5393
39	220	5286
40	221	5184
41	223	5096
42	224	5003
43	226	4916
44	227	4829
45	228	4748
46	230	4666
47	232	4616
48	234	4549
49	235	4481
50	237	4412
51	238	4346
52	239	4282
53	240	4221
54	242	4167
55	243	4111
56	245	4058
57	246	4005
58	247	3952
59	249	3902
60	250	3853
61	251	3804
62	253	3774
63	255	3739
64	257	3697
65	258	3658
66	259	3619
67	260	3571
68	261	3533
69	263	3505
70	265	3474
71	266	3439
72	268	3404
73	269	3372
74	270	3341
75	272	3309
76	274	3287
77	275	3260
78	277	3231
79	278	3203
80	279	3175
81	281	3149
82	282	3124
83	285	3111
84	286	3082
85	287	3056
86	288	3028
87	290	3006
88	291	2984
89	293	2964
90	295	2949
91	296	2927
92	298	2909
93	299	2887
94	301	2870
95	302	2851
96	305	2841
97	306	2824
98	308	2807
99	310	2790
100	311	2772
101	312	2751
102	315	2749
103	317	2732
104	318	2714
105	319	2698
106	321	2681
107	322	2667
108	324	2651
109	326	2640
110	327	2624
111	329	2609
112	330	2593
113	331	2577
114	333	2563
115	334	2546
116	336	2536
117	337	2524
118	338	2508
119	340	2495
120	341	2483
121	343	2470
122	344	2452
123	346	2447
124	348	2437
125	349	2424
126	350	2412
127	352	2398
128	353	2386
129	354	2374
130	356	2362
131	358	2355
132	359	2344
133	361	2334
134	362	2324
135	364	2313
136	365	2302
137	366	2291
138	368	2283
139	370	2276
140	371	2265
141	373	2257
142	375	2248
143	376	2238
144	379	2237
145	381	2230
146	384	2229
147	385	2222
148	387	2212
149	389	2205
150	391	2203
151	394	2198
152	395	2192
153	397	2185
154	399	2177
155	400	2168
156	402	2159
157	403	2150
158	404	2141
159	406	2131
160	407	2122
161	408	2113
162	410	2106
163	411	2099
164	413	2090
165	414	2082
166	416	2076
167	417	2068
168	419	2060
169	420	2053
170	421	2045
171	423	2037
172	424	2029
173	425	2021
174	427	2013
175	428	2006
176	429	1998
177	431	1991
178	432	1984
179	433	1976
180	434	1966
181	436	1960
182	437	1953
183	438	1945
184	439	1938
185	441	1931
