iter	Passed	Remaining
0	140	140777
1	145	72435
2	148	49343
3	152	37966
4	155	30859
5	157	26103
6	160	22723
7	162	20183
8	165	18201
9	167	16610
10	170	15352
11	173	14286
12	176	13389
13	179	12629
14	181	11942
15	184	11364
16	187	10841
17	189	10340
18	191	9888
19	193	9481
20	196	9172
21	198	8839
22	201	8556
23	203	8280
24	206	8036
25	207	7790
26	210	7572
27	212	7363
28	214	7170
29	216	6990
30	218	6822
31	220	6664
32	222	6530
33	224	6386
34	226	6256
35	228	6130
36	231	6019
37	233	5907
38	235	5801
39	237	5699
40	239	5601
41	241	5515
42	243	5429
43	246	5350
44	251	5332
45	253	5261
46	256	5192
47	261	5188
48	263	5120
49	266	5059
50	268	5000
51	272	4975
52	275	4923
53	278	4876
54	283	4870
55	286	4828
56	288	4779
57	292	4745
58	295	4708
59	297	4666
60	301	4640
61	305	4627
62	308	4588
63	310	4543
64	312	4498
65	315	4465
66	318	4439
67	321	4407
68	323	4368
69	326	4336
70	328	4303
71	332	4291
72	335	4265
73	338	4239
74	340	4204
75	348	4236
76	353	4233
77	356	4217
78	363	4242
79	366	4211
80	368	4177
81	370	4147
82	373	4131
83	376	4103
84	378	4073
85	380	4042
86	385	4046
87	387	4018
88	389	3991
89	391	3961
90	395	3949
91	398	3933
92	400	3909
93	402	3882
94	405	3866
95	408	3848
96	410	3824
97	413	3803
98	418	3809
99	420	3785
100	422	3763
101	425	3741
102	427	3724
103	429	3702
104	431	3680
105	434	3663
106	436	3645
107	439	3630
108	442	3617
109	444	3597
110	447	3587
111	450	3572
112	454	3563
113	456	3550
114	460	3544
115	462	3527
116	465	3510
117	467	3494
118	470	3482
119	474	3481
120	476	3464
121	478	3446
122	481	3432
123	484	3422
124	486	3405
125	488	3388
126	491	3380
127	494	3365
128	496	3349
129	498	3333
130	500	3317
131	503	3307
132	505	3293
133	507	3279
134	509	3264
135	511	3252
136	514	3239
137	516	3224
138	518	3211
139	520	3197
140	523	3191
141	525	3173
142	527	3159
143	529	3146
144	531	3132
145	535	3132
146	537	3120
147	539	3106
148	541	3093
149	544	3087
150	547	3075
151	549	3063
152	551	3050
153	553	3038
154	556	3032
155	558	3020
156	560	3008
157	562	2995
158	565	2990
159	567	2979
160	569	2965
161	571	2955
162	573	2945
163	576	2937
164	578	2926
165	580	2915
166	582	2903
167	584	2894
168	587	2889
169	589	2879
170	592	2870
171	594	2862
172	597	2857
173	599	2848
174	602	2838
175	604	2828
176	607	2825
177	609	2814
178	611	2804
179	613	2796
180	615	2786
181	618	2779
182	620	2770
183	622	2761
184	624	2752
185	626	2743
186	629	2738
187	632	2730
188	634	2723
189	637	2716
190	640	2711
191	642	2703
192	644	2693
193	646	2684
194	648	2675
195	651	2673
196	654	2666
197	656	2658
198	658	2649
199	660	2643
200	663	2635
201	665	2628
202	668	2625
203	672	2624
204	675	2618
205	677	2611
206	679	2604
207	682	2599
208	684	2591
209	687	2584
